3,99,-2,-92
34,69,-97,-91
70,52,7,65
64,61,60,40
58,90,-30,-55
38,22,-54,-10
79,67,97,18
58,85,-97,-21
35,97,-95,39
76,74,-83,-73
97,43,86,-78
26,32,-43,-84
53,48,-89,53
85,102,7,-11
6,57,33,-94
81,51,-34,-47
43,98,58,-20
28,32,-45,-64
38,91,-95,-55
81,90,49,83
5,25,27,-71
84,8,-70,-83
64,21,-71,-14
78,47,-61,30
87,22,-93,-15
99,37,15,-87
2,78,-92,96
77,95,38,17
7,54,69,36
26,81,80,-93
68,29,6,-81
96,33,26,-34
7,26,44,63
10,93,-28,20
21,50,5,25
24,19,-61,29
47,6,53,98
31,74,-14,-42
86,66,56,-13
2,88,33,-23
25,4,-14,44
47,35,-26,39
14,82,-15,-51
97,83,15,-1
73,57,-58,-19
94,7,-33,-58
7,19,44,-27
66,82,28,-77
37,56,-64,49
64,75,-85,-20
96,42,68,50
61,93,48,-89
96,52,-75,-32
34,99,29,22
93,62,66,35
92,97,56,-64
82,22,-93,35
5,13,-92,51
71,63,-52,-38
54,28,-71,10
44,75,96,33
33,47,40,93
54,83,71,80
16,90,76,17
90,61,-89,-88
18,89,-53,-22
30,48,76,-19
4,66,98,-32
2,54,27,56
32,8,71,88
84,79,-28,-33
8,22,-73,-49
5,79,67,-2
2,28,-9,69
31,78,46,74
3,96,-42,81
94,11,-3,-77
99,61,-21,-91
28,76,82,-1
83,82,37,2
62,100,48,-89
28,10,58,82
90,81,55,-58
62,28,-24,-74
29,51,-37,62
58,56,-65,87
94,61,-62,-91
93,47,-46,93
75,79,-28,24
30,11,-84,-37
78,101,-60,-85
58,54,79,-17
92,24,-41,-8
36,25,88,-93
25,18,-37,-15
67,69,31,96
1,85,-3,86
17,72,-98,-88
100,85,-9,89
55,66,60,90
89,95,-59,81
84,76,-10,-73
29,54,88,62
36,34,-25,-34
76,30,22,-56
97,27,79,97
41,58,96,-22
0,72,-20,-61
15,27,87,44
26,18,-61,26
82,86,33,-49
92,17,-99,-43
73,83,-26,-72
64,35,69,27
21,57,-79,31
56,61,6,-16
11,7,69,-27
43,88,-66,80
53,26,96,41
9,12,15,-24
9,96,19,33
91,90,53,88
53,25,-42,-96
16,89,46,73
2,33,-27,-96
97,69,57,80
10,62,-26,-13
5,51,-80,78
7,28,-75,52
59,20,78,-56
36,3,35,-58
82,49,90,22
91,73,16,-29
91,29,-2,-96
57,102,47,-90
94,84,-10,95
85,42,46,-92
96,55,98,34
8,58,28,28
7,71,27,-7
82,74,37,-91
61,7,-53,79
17,48,16,27
49,32,-9,49
14,72,-15,-98
22,4,-41,-81
42,4,88,95
87,10,8,67
17,49,10,-66
70,17,-53,98
39,26,-89,66
87,19,-87,48
18,87,75,-45
61,82,18,-48
14,67,87,-57
17,6,-2,-83
41,91,-42,-1
56,17,24,-52
60,19,-11,48
91,68,-31,-87
93,46,14,56
23,61,46,52
3,102,-80,57
62,63,78,81
7,0,-79,67
19,91,9,-77
77,23,-46,-90
90,60,22,43
45,96,-78,-14
23,77,-97,-63
67,53,96,-94
75,68,-53,21
9,98,75,54
30,40,-28,88
52,45,-30,-18
87,79,-57,74
34,81,11,30
2,48,92,87
59,102,31,70
60,88,-59,-29
77,55,-5,-4
16,54,-20,21
25,14,-79,76
65,60,-53,-41
85,88,86,70
42,59,-89,78
58,71,43,28
46,57,-93,-22
28,8,8,-46
91,69,7,-25
51,52,47,3
90,48,37,84
34,38,97,53
57,62,-32,13
41,30,11,-84
3,27,20,60
97,9,-39,48
60,40,42,69
62,17,72,29
70,24,96,35
52,34,-83,-87
42,22,-50,46
66,82,-88,-49
91,8,-80,70
99,21,57,-81
23,77,-2,-51
30,7,88,-49
29,47,75,-53
63,60,-55,-63
64,19,60,85
68,98,-47,89
63,23,40,-81
88,84,8,-20
11,83,-62,-23
90,33,26,88
51,76,84,-88
23,55,-91,75
9,1,-74,-5
71,20,49,82
31,55,-36,15
60,83,54,-98
32,54,78,54
81,89,-46,-14
48,86,-38,-90
71,70,-11,-88
7,13,86,-27
15,2,-79,95
8,100,-35,81
65,15,-68,-59
61,91,30,-70
46,12,-25,-65
87,44,32,28
29,39,11,-40
7,14,-98,-96
13,12,-44,-93
30,55,70,-47
93,13,9,-8
89,49,-51,31
9,31,-92,41
14,39,82,-47
99,41,21,19
41,51,-40,31
18,8,22,-77
35,88,76,-14
19,26,-97,-15
59,67,84,-35
13,79,23,-49
64,28,-5,-68
45,43,-18,-97
19,23,16,69
55,86,95,30
43,58,95,84
21,97,-49,17
81,50,-76,97
72,7,13,17
79,0,73,-89
2,51,92,-41
9,102,-68,-90
61,51,12,-25
37,26,-9,52
83,52,8,-64
61,83,66,55
91,82,20,-85
36,20,-90,-12
95,91,2,-98
37,11,-19,-27
11,72,93,-58
70,84,25,-20
12,71,86,-16
22,58,82,6
80,25,97,-62
55,68,12,52
33,32,99,-71
14,34,-50,-37
4,42,-97,-94
18,66,93,-79
57,32,12,56
27,31,-52,-13
47,90,-77,24
93,92,68,-99
81,29,-17,-87
78,13,-64,54
60,2,24,98
10,14,-23,70
11,37,35,95
95,75,44,-54
48,101,-35,-42
18,44,-8,75
65,41,54,-47
26,12,-37,-46
75,19,64,13
35,17,89,-99
86,45,-4,-16
61,65,60,65
29,42,97,-65
58,79,87,-95
3,79,-9,-23
90,55,56,37
6,6,-52,92
91,6,-52,91
80,6,56,64
27,75,37,-4
98,21,-21,13
86,72,92,52
27,23,58,69
71,40,-72,-62
22,52,-31,3
18,34,15,-97
36,46,89,15
83,99,-32,-96
89,89,58,-11
25,100,51,-45
77,52,-45,90
50,33,11,31
55,80,42,5
95,60,98,-26
20,57,28,15
82,24,-11,-81
17,43,28,-28
81,16,-30,66
86,67,97,-79
31,22,50,90
99,10,51,-12
49,32,19,3
77,27,-40,54
41,64,59,37
95,39,-45,19
69,83,-88,-95
100,73,18,80
29,82,38,46
87,65,43,31
83,51,-3,-47
9,61,-98,90
